GeneName	NoConstraint	Acnistus_arborescens,Coffea_arabica	Olea_europaea,Coffea_arabica	Olea_europaea,Acnistus_arborescens
rpl36.fa.cds.fsa.nuc.aln	-851.436493	-852.385206	-851.436501	-855.248393
psbH.fa.cds.fsa.nuc.aln	-1927.591636	-1929.165209	-1927.245372	-1924.446274
rpl2.fa.cds.fsa.nuc.aln	-4309.237828	-4311.385649	-4311.385671	-4309.237431
rps12.fa.cds.fsa.nuc.aln	-1716.896409	-1716.896373	-1716.896409	-1716.896409
psaJ.fa.cds.fsa.nuc.aln	-982.585608	-982.274369	-982.097102	-982.097068
ndhE.fa.cds.fsa.nuc.aln	-2368.462789	-2369.062216	-2370.592681	-2370.956095
psbM.fa.cds.fsa.nuc.aln	-636.541932	-636.132490	-634.841571	-635.090409
rps19.fa.cds.fsa.nuc.aln	-2707.005339	-2710.234041	-2708.053781	-2711.633637
psbE.fa.cds.fsa.nuc.aln	-1244.760069	-1249.497229	-1248.656072	-1244.760187
rps18.fa.cds.fsa.nuc.aln	-2644.609600	-2644.708315	-2644.609806	-2644.609555
rps15.fa.cds.fsa.nuc.aln	-3363.540899	-3363.406668	-3365.907319	-3364.771824
rps3.fa.cds.fsa.nuc.aln	-7189.172458	-7189.759382	-7189.172424	-7189.284876
matK.fa.cds.fsa.nuc.aln	-20682.807213	-20682.807190	-20684.349150	-20684.349249
ndhH.fa.cds.fsa.nuc.aln	-8411.391667	-8411.404232	-8411.391560	-8411.404380
rps16.fa.cds.fsa.nuc.aln	-2306.164172	-2306.346813	-2306.164161	-2306.164316
ndhK.fa.cds.fsa.nuc.aln	-6210.039136	-6210.039135	-6210.039136	-6210.039136
rpl23.fa.cds.fsa.nuc.aln	-1195.802611	-1195.802608	-1195.802608	-1195.802613
psaA.fa.cds.fsa.nuc.aln	-13210.071049	-13203.414740	-13203.417319	-13201.666292
rbcL.fa.cds.fsa.nuc.aln	-10586.183617	-10586.183575	-10592.063072	-10591.310132
petG.fa.cds.fsa.nuc.aln	-527.449629	-527.449800	-527.839236	-527.449669
ndhA.fa.cds.fsa.nuc.aln	-8795.525459	-8795.525439	-8799.874204	-8799.164326
rpl33.fa.cds.fsa.nuc.aln	-1938.761596	-1938.597570	-1942.487603	-1940.074436
ycf1.fa.cds.fsa.nuc.aln	-98880.079075	-98881.774528	-98884.121162	-98880.079073
ndhF.fa.cds.fsa.nuc.aln	-26129.819820	-26129.819856	-26130.353527	-26129.905856
ycf3.fa.cds.fsa.nuc.aln	-3169.265877	-3171.639567	-3171.639719	-3169.276267
atpA.fa.cds.fsa.nuc.aln	-11580.149513	-11580.149513	-11581.302562	-11581.340501
rps11.fa.cds.fsa.nuc.aln	-4165.323718	-4165.102997	-4165.983008	-4165.982829
psbN.fa.cds.fsa.nuc.aln	-652.332681	-656.739315	-656.586004	-652.539126
atpB.fa.cds.fsa.nuc.aln	-10736.268591	-10735.321575	-10737.044107	-10736.112580
atpE.fa.cds.fsa.nuc.aln	-3580.741645	-3580.979478	-3580.250713	-3580.442458
petB.fa.cds.fsa.nuc.aln	-3843.867981	-3843.867975	-3845.682061	-3844.764852
ndhG.fa.cds.fsa.nuc.aln	-4577.034945	-4577.034867	-4577.035141	-4577.035186
rpl32.fa.cds.fsa.nuc.aln	-2184.198963	-2183.797138	-2183.779996	-2188.255830
rpoB.fa.cds.fsa.nuc.aln	-25859.427000	-25860.002888	-25860.062610	-25859.426868
psbZ.fa.cds.fsa.nuc.aln	-871.240065	-871.240065	-871.240065	-871.240065
accD.fa.cds.fsa.nuc.aln	-16021.964299	-16022.212413	-16022.365604	-16022.918890
rpl16.fa.cds.fsa.nuc.aln	-3469.202459	-3471.130633	-3470.797945	-3469.152950
rpoC1.fa.cds.fsa.nuc.aln	-17151.629222	-17153.425045	-17151.629199	-17153.602236
rpoA.fa.cds.fsa.nuc.aln	-10072.145059	-10072.144946	-10071.615544	-10074.590288
rps7.fa.cds.fsa.nuc.aln	-2031.394670	-2031.394655	-2033.345212	-2033.345222
petL.fa.cds.fsa.nuc.aln	-717.679126	-715.510079	-719.833721	-718.376586
ndhD.fa.cds.fsa.nuc.aln	-14418.453797	-14419.463689	-14418.453783	-14419.619808
psbL.fa.cds.fsa.nuc.aln	-457.146324	-462.715071	-461.039418	-459.746506
psbI.fa.cds.fsa.nuc.aln	-829.521093	-832.090585	-832.629578	-831.021097
psaI.fa.cds.fsa.nuc.aln	-961.572559	-963.813987	-966.900889	-966.433489
cemA.fa.cds.fsa.nuc.aln	-7148.851281	-7149.608154	-7149.859631	-7148.850863
rps14.fa.cds.fsa.nuc.aln	-2208.624205	-2209.891902	-2211.662013	-2208.656670
petA.fa.cds.fsa.nuc.aln	-7567.521488	-7571.901867	-7568.586935	-7572.144006
